Date,Id,code,name,Hour,Value,unit_catalog,unit_effective,unit_override_applied,override_reason,Value_GWh
2026-06-01,Recurso,TUJ1,,Hour01,19209.93,kWh,kWh,False,,0.01920993
2026-06-01,Recurso,TUJ1,,Hour02,19204.55,kWh,kWh,False,,0.019204549999999997
2026-06-01,Recurso,TUJ1,,Hour03,19207.08,kWh,kWh,False,,0.01920708
2026-06-01,Recurso,TUJ1,,Hour04,19208.68,kWh,kWh,False,,0.01920868
2026-06-01,Recurso,TUJ1,,Hour05,19208.43,kWh,kWh,False,,0.01920843
2026-06-01,Recurso,TUJ1,,Hour06,19214.4,kWh,kWh,False,,0.0192144
2026-06-01,Recurso,TUJ1,,Hour07,19214.06,kWh,kWh,False,,0.01921406
2026-06-01,Recurso,TUJ1,,Hour08,19209.17,kWh,kWh,False,,0.019209169999999998
2026-06-01,Recurso,TUJ1,,Hour09,19216.82,kWh,kWh,False,,0.01921682
2026-06-01,Recurso,TUJ1,,Hour10,19215.01,kWh,kWh,False,,0.019215009999999998
2026-06-01,Recurso,TUJ1,,Hour11,19211.87,kWh,kWh,False,,0.01921187
2026-06-01,Recurso,TUJ1,,Hour12,19209.42,kWh,kWh,False,,0.019209419999999998
2026-06-01,Recurso,TUJ1,,Hour13,19210.21,kWh,kWh,False,,0.01921021
2026-06-01,Recurso,TUJ1,,Hour14,19211.78,kWh,kWh,False,,0.019211779999999998
2026-06-01,Recurso,TUJ1,,Hour15,19215.19,kWh,kWh,False,,0.019215189999999997
2026-06-01,Recurso,TUJ1,,Hour16,19070.66,kWh,kWh,False,,0.01907066
2026-06-01,Recurso,TUJ1,,Hour17,18822.47,kWh,kWh,False,,0.01882247
2026-06-01,Recurso,TUJ1,,Hour18,18924.19,kWh,kWh,False,,0.018924189999999997
2026-06-01,Recurso,TUJ1,,Hour19,19165.65,kWh,kWh,False,,0.01916565
2026-06-01,Recurso,TUJ1,,Hour20,19150.79,kWh,kWh,False,,0.01915079
2026-06-01,Recurso,TUJ1,,Hour21,19160.0,kWh,kWh,False,,0.01916
2026-06-01,Recurso,TUJ1,,Hour22,19109.96,kWh,kWh,False,,0.01910996
2026-06-01,Recurso,TUJ1,,Hour23,19102.85,kWh,kWh,False,,0.019102849999999998
2026-06-01,Recurso,TUJ1,,Hour24,18898.36,kWh,kWh,False,,0.01889836
2026-06-01,Recurso,TYP1,,Hour01,8224.5,kWh,kWh,False,,0.0082245
2026-06-01,Recurso,TYP1,,Hour02,8225.1,kWh,kWh,False,,0.0082251
2026-06-01,Recurso,TYP1,,Hour03,8233.79,kWh,kWh,False,,0.008233790000000001
2026-06-01,Recurso,TYP1,,Hour04,8223.19,kWh,kWh,False,,0.00822319
2026-06-01,Recurso,TYP1,,Hour05,8231.65,kWh,kWh,False,,0.00823165
2026-06-01,Recurso,TYP1,,Hour06,8234.73,kWh,kWh,False,,0.00823473
2026-06-01,Recurso,TYP1,,Hour07,8220.86,kWh,kWh,False,,0.00822086
2026-06-01,Recurso,TYP1,,Hour08,8229.58,kWh,kWh,False,,0.00822958
2026-06-01,Recurso,TYP1,,Hour09,8219.26,kWh,kWh,False,,0.008219259999999999
2026-06-01,Recurso,TYP1,,Hour10,8232.48,kWh,kWh,False,,0.008232479999999999
2026-06-01,Recurso,TYP1,,Hour11,8199.36,kWh,kWh,False,,0.008199360000000001
2026-06-01,Recurso,TYP1,,Hour12,8236.65,kWh,kWh,False,,0.00823665
2026-06-01,Recurso,TYP1,,Hour13,8783.66,kWh,kWh,False,,0.008783659999999999
2026-06-01,Recurso,TYP1,,Hour14,8805.62,kWh,kWh,False,,0.00880562
2026-06-01,Recurso,TYP1,,Hour15,8826.97,kWh,kWh,False,,0.008826969999999998
2026-06-01,Recurso,TYP1,,Hour16,8778.36,kWh,kWh,False,,0.00877836
2026-06-01,Recurso,TYP1,,Hour17,8812.43,kWh,kWh,False,,0.00881243
2026-06-01,Recurso,TYP1,,Hour18,14435.24,kWh,kWh,False,,0.014435239999999998
2026-06-01,Recurso,TYP1,,Hour19,17892.74,kWh,kWh,False,,0.01789274
2026-06-01,Recurso,TYP1,,Hour20,17918.69,kWh,kWh,False,,0.017918689999999998
2026-06-01,Recurso,TYP1,,Hour21,17886.19,kWh,kWh,False,,0.017886189999999996
2026-06-01,Recurso,TYP1,,Hour22,17896.39,kWh,kWh,False,,0.017896389999999998
2026-06-01,Recurso,TYP1,,Hour23,16608.11,kWh,kWh,False,,0.01660811
2026-06-01,Recurso,TYP1,,Hour24,9016.09,kWh,kWh,False,,0.00901609
2026-06-01,Recurso,TYP2,,Hour01,27357.28,kWh,kWh,False,,0.027357279999999998
2026-06-01,Recurso,TYP2,,Hour02,27358.56,kWh,kWh,False,,0.02735856
2026-06-01,Recurso,TYP2,,Hour03,27370.14,kWh,kWh,False,,0.027370139999999998
2026-06-01,Recurso,TYP2,,Hour04,27353.21,kWh,kWh,False,,0.02735321
2026-06-01,Recurso,TYP2,,Hour05,27340.11,kWh,kWh,False,,0.02734011
2026-06-01,Recurso,TYP2,,Hour06,27372.84,kWh,kWh,False,,0.02737284
2026-06-01,Recurso,TYP2,,Hour07,27395.54,kWh,kWh,False,,0.02739554
2026-06-01,Recurso,TYP2,,Hour08,27372.91,kWh,kWh,False,,0.02737291
2026-06-01,Recurso,TYP2,,Hour09,27456.71,kWh,kWh,False,,0.02745671
2026-06-01,Recurso,TYP2,,Hour10,27316.91,kWh,kWh,False,,0.02731691
2026-06-01,Recurso,TYP2,,Hour11,26830.68,kWh,kWh,False,,0.02683068
2026-06-01,Recurso,TYP2,,Hour12,26592.92,kWh,kWh,False,,0.026592919999999996
2026-06-01,Recurso,TYP2,,Hour13,26323.48,kWh,kWh,False,,0.02632348
2026-06-01,Recurso,TYP2,,Hour14,26172.73,kWh,kWh,False,,0.026172729999999998
2026-06-01,Recurso,TYP2,,Hour15,26187.11,kWh,kWh,False,,0.02618711
2026-06-01,Recurso,TYP2,,Hour16,26164.71,kWh,kWh,False,,0.026164709999999997
2026-06-01,Recurso,TYP2,,Hour17,26198.62,kWh,kWh,False,,0.02619862
2026-06-01,Recurso,TYP2,,Hour18,27348.15,kWh,kWh,False,,0.02734815
2026-06-01,Recurso,TYP2,,Hour19,27371.43,kWh,kWh,False,,0.02737143
2026-06-01,Recurso,TYP2,,Hour20,27393.44,kWh,kWh,False,,0.027393439999999998
2026-06-01,Recurso,TYP2,,Hour21,27366.78,kWh,kWh,False,,0.027366779999999997
2026-06-01,Recurso,TYP2,,Hour22,27334.88,kWh,kWh,False,,0.02733488
2026-06-01,Recurso,TYP2,,Hour23,27289.33,kWh,kWh,False,,0.02728933
2026-06-01,Recurso,TYP2,,Hour24,26907.43,kWh,kWh,False,,0.02690743
2026-06-01,Recurso,URA1,,Hour01,58713.87,kWh,kWh,False,,0.05871387
2026-06-01,Recurso,URA1,,Hour02,58664.47,kWh,kWh,False,,0.058664469999999996
2026-06-01,Recurso,URA1,,Hour03,58275.36,kWh,kWh,False,,0.05827536
2026-06-01,Recurso,URA1,,Hour04,58233.16,kWh,kWh,False,,0.05823316
2026-06-01,Recurso,URA1,,Hour05,73073.06,kWh,kWh,False,,0.07307306
2026-06-01,Recurso,URA1,,Hour06,75337.72,kWh,kWh,False,,0.07533772
2026-06-01,Recurso,URA1,,Hour07,73167.18,kWh,kWh,False,,0.07316717999999998
2026-06-01,Recurso,URA1,,Hour08,58282.18,kWh,kWh,False,,0.058282179999999996
2026-06-01,Recurso,URA1,,Hour09,58245.7,kWh,kWh,False,,0.0582457
2026-06-01,Recurso,URA1,,Hour10,58247.86,kWh,kWh,False,,0.05824786
2026-06-01,Recurso,URA1,,Hour11,67282.97,kWh,kWh,False,,0.06728297
2026-06-01,Recurso,URA1,,Hour12,116748.81,kWh,kWh,False,,0.11674881
2026-06-01,Recurso,URA1,,Hour13,116991.0,kWh,kWh,False,,0.116991
2026-06-01,Recurso,URA1,,Hour14,147291.56,kWh,kWh,False,,0.14729156
2026-06-01,Recurso,URA1,,Hour15,213611.91,kWh,kWh,False,,0.21361191
2026-06-01,Recurso,URA1,,Hour16,214225.83,kWh,kWh,False,,0.21422582999999998
2026-06-01,Recurso,URA1,,Hour17,214353.8,kWh,kWh,False,,0.21435379999999998
2026-06-01,Recurso,URA1,,Hour18,282428.27,kWh,kWh,False,,0.28242827
2026-06-01,Recurso,URA1,,Hour19,282463.31,kWh,kWh,False,,0.28246330999999997
2026-06-01,Recurso,URA1,,Hour20,282412.2,kWh,kWh,False,,0.2824122
2026-06-01,Recurso,URA1,,Hour21,282419.09,kWh,kWh,False,,0.28241909000000004
2026-06-01,Recurso,URA1,,Hour22,282465.68,kWh,kWh,False,,0.28246568
2026-06-01,Recurso,URA1,,Hour23,282207.56,kWh,kWh,False,,0.28220755999999997
2026-06-01,Recurso,URA1,,Hour24,214570.49,kWh,kWh,False,,0.21457048999999997
2026-06-01,Recurso,ZPA2,,Hour01,,kWh,kWh,False,,
2026-06-01,Recurso,ZPA2,,Hour02,,kWh,kWh,False,,
2026-06-01,Recurso,ZPA2,,Hour03,,kWh,kWh,False,,
2026-06-01,Recurso,ZPA2,,Hour04,,kWh,kWh,False,,
2026-06-01,Recurso,ZPA2,,Hour05,,kWh,kWh,False,,
2026-06-01,Recurso,ZPA2,,Hour06,,kWh,kWh,False,,
2026-06-01,Recurso,ZPA2,,Hour07,,kWh,kWh,False,,
2026-06-01,Recurso,ZPA2,,Hour08,,kWh,kWh,False,,
