Date,Id,code,name,Value,unit_catalog,unit_effective,unit_override_applied,override_reason,Value_GWh
2026-06-01,Embalse,AGREGADO BOGOTA,AGREGADO BOGOTA,2318498900.0,kWh,kWh,False,,2318.4989
2026-06-01,Embalse,ALTOANCHICAYA,ALTOANCHICAYA,26112500.0,kWh,kWh,False,,26.112499999999997
2026-06-01,Embalse,AMANI,AMANI,203109100.0,kWh,kWh,False,,203.10909999999998
2026-06-01,Embalse,BETANIA,BETANIA,99449500.0,kWh,kWh,False,,99.4495
2026-06-01,Embalse,CALIMA1,CALIMA1,218538200.0,kWh,kWh,False,,218.5382
2026-06-01,Embalse,CHUZA,CHUZA,470815600.0,kWh,kWh,False,,470.81559999999996
2026-06-01,Embalse,EL QUIMBO,EL QUIMBO,532449700.0,kWh,kWh,False,,532.4497
2026-06-01,Embalse,ESMERALDA,ESMERALDA,519379500.0,kWh,kWh,False,,519.3795
2026-06-01,Embalse,GUAVIO,GUAVIO,1001260600.0,kWh,kWh,False,,1001.2606
2026-06-02,Embalse,AGREGADO BOGOTA,AGREGADO BOGOTA,2320413700.0,kWh,kWh,False,,2320.4137
2026-06-02,Embalse,ALTOANCHICAYA,ALTOANCHICAYA,22847000.0,kWh,kWh,False,,22.846999999999998
2026-06-02,Embalse,AMANI,AMANI,202605000.0,kWh,kWh,False,,202.605
2026-06-02,Embalse,BETANIA,BETANIA,97236500.0,kWh,kWh,False,,97.23649999999999
2026-06-02,Embalse,CALIMA1,CALIMA1,218538200.0,kWh,kWh,False,,218.5382
2026-06-02,Embalse,CHUZA,CHUZA,478207600.0,kWh,kWh,False,,478.20759999999996
2026-06-02,Embalse,EL QUIMBO,EL QUIMBO,532711500.0,kWh,kWh,False,,532.7115
2026-06-02,Embalse,ESMERALDA,ESMERALDA,535009400.0,kWh,kWh,False,,535.0094
2026-06-02,Embalse,GUAVIO,GUAVIO,1013529100.0,kWh,kWh,False,,1013.5291
2026-06-03,Embalse,AGREGADO BOGOTA,AGREGADO BOGOTA,2323798000.0,kWh,kWh,False,,2323.798
2026-06-03,Embalse,ALTOANCHICAYA,ALTOANCHICAYA,20730700.0,kWh,kWh,False,,20.7307
2026-06-03,Embalse,AMANI,AMANI,202318600.0,kWh,kWh,False,,202.3186
2026-06-03,Embalse,BETANIA,BETANIA,98383100.0,kWh,kWh,False,,98.3831
2026-06-03,Embalse,CALIMA1,CALIMA1,218658200.0,kWh,kWh,False,,218.6582
2026-06-03,Embalse,CHUZA,CHUZA,482838700.0,kWh,kWh,False,,482.83869999999996
2026-06-03,Embalse,EL QUIMBO,EL QUIMBO,534553500.0,kWh,kWh,False,,534.5535
2026-06-03,Embalse,ESMERALDA,ESMERALDA,546427500.0,kWh,kWh,False,,546.4275
2026-06-03,Embalse,GUAVIO,GUAVIO,1030606600.0,kWh,kWh,False,,1030.6065999999998
2026-06-04,Embalse,AGREGADO BOGOTA,AGREGADO BOGOTA,2327627600.0,kWh,kWh,False,,2327.6276
2026-06-04,Embalse,ALTOANCHICAYA,ALTOANCHICAYA,18364000.0,kWh,kWh,False,,18.364
2026-06-04,Embalse,AMANI,AMANI,203275200.0,kWh,kWh,False,,203.27519999999998
2026-06-04,Embalse,BETANIA,BETANIA,102604300.0,kWh,kWh,False,,102.6043
2026-06-04,Embalse,CALIMA1,CALIMA1,218538200.0,kWh,kWh,False,,218.5382
2026-06-04,Embalse,CHUZA,CHUZA,481547400.0,kWh,kWh,False,,481.5474
2026-06-04,Embalse,EL QUIMBO,EL QUIMBO,540299100.0,kWh,kWh,False,,540.2991
2026-06-04,Embalse,ESMERALDA,ESMERALDA,553711200.0,kWh,kWh,False,,553.7112
2026-06-04,Embalse,GUAVIO,GUAVIO,1043312200.0,kWh,kWh,False,,1043.3121999999998
2026-06-05,Embalse,AGREGADO BOGOTA,AGREGADO BOGOTA,2331947000.0,kWh,kWh,False,,2331.947
2026-06-05,Embalse,ALTOANCHICAYA,ALTOANCHICAYA,19718000.0,kWh,kWh,False,,19.718
2026-06-05,Embalse,AMANI,AMANI,205486200.0,kWh,kWh,False,,205.4862
2026-06-05,Embalse,BETANIA,BETANIA,103351200.0,kWh,kWh,False,,103.35119999999999
2026-06-05,Embalse,CALIMA1,CALIMA1,218772700.0,kWh,kWh,False,,218.7727
2026-06-05,Embalse,CHUZA,CHUZA,487692500.0,kWh,kWh,False,,487.6925
2026-06-05,Embalse,EL QUIMBO,EL QUIMBO,546460700.0,kWh,kWh,False,,546.4607
