Date,Id,code,name,Value,unit_catalog,unit_effective,unit_override_applied,override_reason,Value_MW
2026-06-01,Recurso,PPA2,,72000.0,kW,kW,False,,72.0
2026-06-01,Recurso,PPA3,,70000.0,kW,kW,False,,70.0
2026-06-01,Recurso,PPA4,,165000.0,kW,kW,False,,165.0
2026-06-01,Recurso,PRC2,,405000.0,kW,kW,False,,405.0
2026-06-01,Recurso,PRC3,,700000.0,kW,kW,False,,700.0
2026-06-01,Recurso,PRDO,,51000.0,kW,kW,False,,51.0
2026-06-01,Recurso,PRG1,,45000.0,kW,kW,False,,45.0
2026-06-01,Recurso,PRG2,,45000.0,kW,kW,False,,45.0
2026-06-01,Recurso,QUI1,,400000.0,kW,kW,False,,400.0
2026-06-01,Recurso,SLVJ,,315000.0,kW,kW,False,,315.0
2026-06-02,Recurso,PPA2,,72000.0,kW,kW,False,,72.0
2026-06-02,Recurso,PPA3,,70000.0,kW,kW,False,,70.0
2026-06-02,Recurso,PPA4,,165000.0,kW,kW,False,,165.0
2026-06-02,Recurso,PRC2,,405000.0,kW,kW,False,,405.0
2026-06-02,Recurso,PRC3,,700000.0,kW,kW,False,,700.0
2026-06-02,Recurso,PRDO,,51000.0,kW,kW,False,,51.0
2026-06-02,Recurso,PRG1,,45000.0,kW,kW,False,,45.0
2026-06-02,Recurso,PRG2,,45000.0,kW,kW,False,,45.0
2026-06-02,Recurso,QUI1,,400000.0,kW,kW,False,,400.0
2026-06-02,Recurso,SLVJ,,315000.0,kW,kW,False,,315.0
2026-06-03,Recurso,PPA2,,72000.0,kW,kW,False,,72.0
2026-06-03,Recurso,PPA3,,70000.0,kW,kW,False,,70.0
2026-06-03,Recurso,PPA4,,165000.0,kW,kW,False,,165.0
2026-06-03,Recurso,PRC2,,405000.0,kW,kW,False,,405.0
2026-06-03,Recurso,PRC3,,700000.0,kW,kW,False,,700.0
2026-06-03,Recurso,PRDO,,51000.0,kW,kW,False,,51.0
2026-06-03,Recurso,PRG1,,45000.0,kW,kW,False,,45.0
2026-06-03,Recurso,PRG2,,45000.0,kW,kW,False,,45.0
2026-06-03,Recurso,QUI1,,400000.0,kW,kW,False,,400.0
2026-06-03,Recurso,SLVJ,,315000.0,kW,kW,False,,315.0
2026-06-04,Recurso,PPA2,,72000.0,kW,kW,False,,72.0
2026-06-04,Recurso,PPA3,,70000.0,kW,kW,False,,70.0
2026-06-04,Recurso,PPA4,,165000.0,kW,kW,False,,165.0
2026-06-04,Recurso,PRC2,,405000.0,kW,kW,False,,405.0
2026-06-04,Recurso,PRC3,,700000.0,kW,kW,False,,700.0
2026-06-04,Recurso,PRDO,,51000.0,kW,kW,False,,51.0
2026-06-04,Recurso,PRG1,,45000.0,kW,kW,False,,45.0
2026-06-04,Recurso,PRG2,,45000.0,kW,kW,False,,45.0
2026-06-04,Recurso,QUI1,,400000.0,kW,kW,False,,400.0
2026-06-04,Recurso,SLVJ,,315000.0,kW,kW,False,,315.0
2026-06-05,Recurso,PPA2,,72000.0,kW,kW,False,,72.0
2026-06-05,Recurso,PPA3,,70000.0,kW,kW,False,,70.0
2026-06-05,Recurso,PPA4,,165000.0,kW,kW,False,,165.0
2026-06-05,Recurso,PRC2,,405000.0,kW,kW,False,,405.0
2026-06-05,Recurso,PRC3,,700000.0,kW,kW,False,,700.0
2026-06-05,Recurso,PRDO,,51000.0,kW,kW,False,,51.0
2026-06-05,Recurso,PRG1,,45000.0,kW,kW,False,,45.0
2026-06-05,Recurso,PRG2,,45000.0,kW,kW,False,,45.0
2026-06-05,Recurso,QUI1,,400000.0,kW,kW,False,,400.0
2026-06-05,Recurso,SLVJ,,315000.0,kW,kW,False,,315.0
2026-06-06,Recurso,PPA2,,72000.0,kW,kW,False,,72.0
2026-06-06,Recurso,PPA3,,70000.0,kW,kW,False,,70.0
2026-06-06,Recurso,PPA4,,165000.0,kW,kW,False,,165.0
2026-06-06,Recurso,PRC2,,405000.0,kW,kW,False,,405.0
2026-06-06,Recurso,PRC3,,700000.0,kW,kW,False,,700.0
2026-06-06,Recurso,PRDO,,51000.0,kW,kW,False,,51.0
2026-06-06,Recurso,PRG1,,45000.0,kW,kW,False,,45.0
2026-06-06,Recurso,PRG2,,45000.0,kW,kW,False,,45.0
2026-06-06,Recurso,QUI1,,400000.0,kW,kW,False,,400.0
2026-06-06,Recurso,SLVJ,,315000.0,kW,kW,False,,315.0
2026-06-07,Recurso,PPA2,,72000.0,kW,kW,False,,72.0
2026-06-07,Recurso,PPA3,,70000.0,kW,kW,False,,70.0
2026-06-07,Recurso,PPA4,,165000.0,kW,kW,False,,165.0
2026-06-07,Recurso,PRC2,,405000.0,kW,kW,False,,405.0
2026-06-07,Recurso,PRC3,,700000.0,kW,kW,False,,700.0
2026-06-07,Recurso,PRDO,,51000.0,kW,kW,False,,51.0
2026-06-07,Recurso,PRG1,,45000.0,kW,kW,False,,45.0
2026-06-07,Recurso,PRG2,,45000.0,kW,kW,False,,45.0
2026-06-07,Recurso,QUI1,,400000.0,kW,kW,False,,400.0
2026-06-07,Recurso,SLVJ,,315000.0,kW,kW,False,,315.0
