Date,Id,code,name,Value,unit_catalog,unit_effective,unit_override_applied,override_reason,Value_MW
2026-06-01,Recurso,SMI1,,50000.0,kW,kW,False,,50.0
2026-06-01,Recurso,SNCR,,1240000.0,kW,kW,False,,1240.0
2026-06-01,Recurso,SNFR,,135000.0,kW,kW,False,,135.0
2026-06-01,Recurso,SOG1,,819000.0,kW,kW,False,,819.0
2026-06-01,Recurso,TBQ3,,60000.0,kW,kW,False,,60.0
2026-06-01,Recurso,TBQ4,,60000.0,kW,kW,False,,60.0
2026-06-01,Recurso,TBST,,791000.0,kW,kW,False,,791.0
2026-06-01,Recurso,TCBE,,52000.0,kW,kW,False,,52.0
2026-06-01,Recurso,TCDT,,555000.0,kW,kW,False,,555.0
2026-06-01,Recurso,TDR1,,48000.0,kW,kW,False,,48.0
2026-06-02,Recurso,SMI1,,50000.0,kW,kW,False,,50.0
2026-06-02,Recurso,SNCR,,1240000.0,kW,kW,False,,1240.0
2026-06-02,Recurso,SNFR,,135000.0,kW,kW,False,,135.0
2026-06-02,Recurso,SOG1,,819000.0,kW,kW,False,,819.0
2026-06-02,Recurso,TBQ3,,60000.0,kW,kW,False,,60.0
2026-06-02,Recurso,TBQ4,,60000.0,kW,kW,False,,60.0
2026-06-02,Recurso,TBST,,791000.0,kW,kW,False,,791.0
2026-06-02,Recurso,TCBE,,52000.0,kW,kW,False,,52.0
2026-06-02,Recurso,TCDT,,555000.0,kW,kW,False,,555.0
2026-06-02,Recurso,TDR1,,48000.0,kW,kW,False,,48.0
2026-06-03,Recurso,SMI1,,50000.0,kW,kW,False,,50.0
2026-06-03,Recurso,SNCR,,1240000.0,kW,kW,False,,1240.0
2026-06-03,Recurso,SNFR,,135000.0,kW,kW,False,,135.0
2026-06-03,Recurso,SOG1,,819000.0,kW,kW,False,,819.0
2026-06-03,Recurso,TBQ3,,60000.0,kW,kW,False,,60.0
2026-06-03,Recurso,TBQ4,,60000.0,kW,kW,False,,60.0
2026-06-03,Recurso,TBST,,791000.0,kW,kW,False,,791.0
2026-06-03,Recurso,TCBE,,52000.0,kW,kW,False,,52.0
2026-06-03,Recurso,TCDT,,555000.0,kW,kW,False,,555.0
2026-06-03,Recurso,TDR1,,48000.0,kW,kW,False,,48.0
2026-06-04,Recurso,SMI1,,50000.0,kW,kW,False,,50.0
2026-06-04,Recurso,SNCR,,1240000.0,kW,kW,False,,1240.0
2026-06-04,Recurso,SNFR,,135000.0,kW,kW,False,,135.0
2026-06-04,Recurso,SOG1,,819000.0,kW,kW,False,,819.0
2026-06-04,Recurso,TBQ3,,60000.0,kW,kW,False,,60.0
2026-06-04,Recurso,TBQ4,,60000.0,kW,kW,False,,60.0
2026-06-04,Recurso,TBST,,791000.0,kW,kW,False,,791.0
2026-06-04,Recurso,TCBE,,52000.0,kW,kW,False,,52.0
2026-06-04,Recurso,TCDT,,555000.0,kW,kW,False,,555.0
2026-06-04,Recurso,TDR1,,48000.0,kW,kW,False,,48.0
2026-06-05,Recurso,SMI1,,50000.0,kW,kW,False,,50.0
2026-06-05,Recurso,SNCR,,1240000.0,kW,kW,False,,1240.0
2026-06-05,Recurso,SNFR,,135000.0,kW,kW,False,,135.0
2026-06-05,Recurso,SOG1,,819000.0,kW,kW,False,,819.0
2026-06-05,Recurso,TBQ3,,60000.0,kW,kW,False,,60.0
2026-06-05,Recurso,TBQ4,,60000.0,kW,kW,False,,60.0
2026-06-05,Recurso,TBST,,791000.0,kW,kW,False,,791.0
2026-06-05,Recurso,TCBE,,52000.0,kW,kW,False,,52.0
2026-06-05,Recurso,TCDT,,555000.0,kW,kW,False,,555.0
2026-06-05,Recurso,TDR1,,48000.0,kW,kW,False,,48.0
2026-06-06,Recurso,SMI1,,50000.0,kW,kW,False,,50.0
2026-06-06,Recurso,SNCR,,1240000.0,kW,kW,False,,1240.0
2026-06-06,Recurso,SNFR,,135000.0,kW,kW,False,,135.0
2026-06-06,Recurso,SOG1,,819000.0,kW,kW,False,,819.0
2026-06-06,Recurso,TBQ3,,60000.0,kW,kW,False,,60.0
2026-06-06,Recurso,TBQ4,,60000.0,kW,kW,False,,60.0
2026-06-06,Recurso,TBST,,791000.0,kW,kW,False,,791.0
2026-06-06,Recurso,TCBE,,52000.0,kW,kW,False,,52.0
2026-06-06,Recurso,TCDT,,555000.0,kW,kW,False,,555.0
2026-06-06,Recurso,TDR1,,48000.0,kW,kW,False,,48.0
2026-06-07,Recurso,SMI1,,50000.0,kW,kW,False,,50.0
2026-06-07,Recurso,SNCR,,1240000.0,kW,kW,False,,1240.0
2026-06-07,Recurso,SNFR,,135000.0,kW,kW,False,,135.0
2026-06-07,Recurso,SOG1,,819000.0,kW,kW,False,,819.0
2026-06-07,Recurso,TBQ3,,60000.0,kW,kW,False,,60.0
2026-06-07,Recurso,TBQ4,,60000.0,kW,kW,False,,60.0
2026-06-07,Recurso,TBST,,791000.0,kW,kW,False,,791.0
2026-06-07,Recurso,TCBE,,52000.0,kW,kW,False,,52.0
2026-06-07,Recurso,TCDT,,555000.0,kW,kW,False,,555.0
2026-06-07,Recurso,TDR1,,48000.0,kW,kW,False,,48.0
